species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		JU1818		C16.1			JU	4.595467	-52.262633	Forest		rotting fruit												C. Braendle & M.-A. Felix	M.-A. Felix	2009-11-19		Isolated from red berries sampled in Kaw mountain, French guiana, on 19 Nov 2009.	
		JU1819		D8.1			JU	4.08805	-52.675667	Forest		rotting stem												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-21		Isolated from rotten stem sampled on Grand Plateau in Nouragues Forest, French guiana, on 21 Nov 2009. Sample plated on the 21 Nov and parent worm isolated at L4 stage on 22 Nov. Same sample as JU1820.	
		JU1821		D10.1			JU	4.087967	-52.675167	Forest		rotting fungus												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-21		Isolated from yellow rotten fungus on a fallen tree sampled on Grand Plateau in Nouragues Forest, French guiana, on 21 Nov 2009. Sample plated on the 21 Nov and parent worm isolated at adult stage on 22 Nov (+24 hrs).	
		JU1831		D25.2			JU	4.085333	-52.6751	Forest		rotting fruit, Cecropia												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-21		Isolated from rotten Cecropia fruits sampled on Grand Plateau in Nouragues Forest, French guiana, on 21 Nov 2009. Sample plated on the 21 Nov and parent worm isolated at adult stage on 22 Nov (+15 hrs).	
		JU1835		D30.1			JU	4.085783	-52.6791	Forest		rotting flower												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-21		Isolated from rotten flowers of Lecythidaceae, (Eschweilera sp. ?) sampled on Grand Plateau in Nouragues Forest, French guiana, on 21 Nov 2009. Sample plated on the 21 Nov and parent worm isolated at adult stage on 22 Nov (+15 hrs).	
		JU1836		D32.1			JU	4.087883	-52.680033	Forest		rotting stem, Philodendron												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-21		Isolated from rotten Philodendron stem sampled at the CNRS Biological Station in Nouragues Forest, French guiana, on 21 Nov 2009. Sample plated on the 21 Nov and parent worm isolated at adult stage on 23 Nov.	
		JU1838		D36.1			JU	4.085517	-52.681917	Forest		rotting stem												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-21		Isolated from rotten stem (Philodendron?) sampled on the Petit Plateau in Nouragues Forest, French guiana, on 21 Nov 2009. Sample plated on the 21 Nov and parent worm isolated at young adult stage on 22 Nov (+24 hrs). Same sample as JU1839.	
		JU1839		D36.2			JU	4.085517	-52.681917	Forest		rotting stem												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-21		Isolated from rotten stem (Philodendron?) sampled on the Petit Plateau in Nouragues Forest, French guiana, on 21 Nov 2009. Sample plated on the 21 Nov and parent worm isolated at adult stage on 23 Nov. Same sample as JU1838.	
		JU1845		E2.3			JU	4.089583	-52.67705	Forest		rotting flower, Eperua falcata												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-22		Isolated from rotten Eperua falcata flowers sampled in Nouragues Forest (RD path), French guiana, on 22 Nov 2009. Sample plated on the 22 Nov and parent worm isolated at adult stage on 24 Nov. Same sample as JU1843-4.	
		JU1846		E12.1			JU	4.0911	-52.674633	Forest		rotting fruit, Puruma												C. Braendle & M.-A. Felix	C. Braendle & M.-A. Felix	2009-11-22		Isolated from rotten Puruma fruit sampled in Nouragues Forest (next to small river), French guiana, on 22 Nov 2009. Sample plated on the 23 Nov and parent worm isolated at adult stage on 25 Nov.	
