species	species_ID_method	strain	isotype	previous_names	sequenced	release	source_lab	latitude	longitude	landscape	locality_description	substrate	substrate_comments	substrate_temp	substrate_moisture	ambient_temp	ambient_humidity	associated_organism	life_stage	log_size_of_population	males_observed	inbreeding_state	photo	sampled_by	isolated_by	sampling_date	sampling_date_comments	isolation_comments	notes
		NIC408		302			NIC	5.40848	-53.65181	Forest		Fruit	Woody fruit, oval											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		forest trail - Angoulème, French Guiana	CBsampling.  
		NIC409		2934			NIC	5.41011	-53.65462	Forest		Flower	Heliconia flowers, large, Heliconia sp.											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-13		Chemin? - Angoulème, French Guiana	CBsampling. only highly prolif pop
		NIC413		481			NIC	4.07244	-52.69034	Forest		Fruit	fruit Cecropia sp.2											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Inselberg Parare trail - Nouragues, FG	Parare  trip.  
		NIC416		528c3			NIC	4.03714	-52.67109	Forest		Fruit	eyeball fruit, Paullinia sp. (Sapindaceae)											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Parare East - Nouragues, FG	Parare  trip.  
		NIC417		4771			NIC	4.07829	-52.68732	Forest		Fruit	pink fruit covers, Tetragastris sp. (Burseraceae)											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		InselbergParare trail - Nouragues, FG	Parare  trip.  
		NIC420		352			NIC	5.41089	-53.6565	Rural garden		Flower	heliconia flower, large, Heliconia sp.											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2014-04-14		Garden Auberge d'Angouleme - Angoulème, French Guiana	CBsampling. across fence, river
		NIC422		502			NIC	4.03943	-52.67587	Forest		Fruit	eyeball fruit, Paullinia sp. (Sapindaceae)										ADC 1020464	C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Parare West - Nouragues, FG	Parare  trip.  
		NIC424		338			NIC	5.41432	-53.65382	Forest		Fruit	woody fruits											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2014-04-14		Piste d'Angouleme - Angoulème, French Guiana	CBsampling.  
		NIC425		361			NIC	5.53544	-53.5634	Forest		Flower	flowers											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-15		Sentier sur Sables Blancs - Mana, French Guiana	CBsampling.  
		NIC426		345			NIC	5.41125	-53.65478	Rural garden		Leaf Litter	Leaf Litter											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2014-04-14		Garden Auberge d'Angouleme - Angoulème, French Guiana	CBsampling.  
		NIC434		13OF3			NIC	4.08584	-52.67358	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	13OF3 - Grid sampling
		NIC436		13ML5			NIC	4.08678	-52.67515	Forest		Litter	Litter											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	13ML5 - Grid sampling
		NIC441		17LF5			NIC	4.08399	-52.67769	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	17LF5 - Grid sampling
		NIC443		17KF3			NIC	4.08447	-52.67858	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	17KF3 - Grid sampling
		NIC444		15OF2			NIC	4.08422	-52.67452	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	15OF2 - Grid sampling
		NIC445		15LL6			NIC	4.08558	-52.67682	Forest		Litter	Litter											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-22		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	15LL6 - Grid sampling
		NIC450		11KF1			NIC	4.08926	-52.67607	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-21		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	11KF1 - Grid sampling
		NIC454		21GF2			NIC	4.08318	-52.68343	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-23		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	21GF2 - Grid sampling
		NIC458		22IF5			NIC	4.08141	-52.68219	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-23		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	22IF5 - Grid sampling
		NIC459		23GL02			NIC	4.08161	-52.68424	Forest		Litter	Litter											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-23		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	23GL02 - Grid sampling
		NIC461		21GF5			NIC	4.08318	-52.68343	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-23		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	21GF5 - Grid sampling
		NIC468		J7F - J7Fstrain2			NIC	4.0883	-52.67541	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-25		Small scale sampling, Grand Plateau - Inselberg station, Nouragues, FG	JF07 - Small scale; same sample as NIC472
		NIC469		F3F			NIC	4.0883	-52.67541	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-25		Small scale sampling, Grand Plateau - Inselberg station, Nouragues, FG	FF03 - Small scale;
		NIC472		J7F - J7Fstrain1			NIC	4.0883	-52.67541	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-25		Small scale sampling, Grand Plateau - Inselberg station, Nouragues, FG	JF07 - Small scale; same sample as NIC468
		NIC473		D5L			NIC	4.0883	-52.67541	Forest		Litter	Litter											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-25		Small scale sampling, Grand Plateau - Inselberg station, Nouragues, FG	DL05 - Small scale
		NIC475		12PF3			NIC	4.08631	-52.67243	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	12PF3 - Grid sampling
		NIC478		12KL7			NIC	4.08855	-52.67645	Forest		Litter	Litter											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	12KL7 - Grid sampling
		NIC479		12PF1			NIC	4.08631	-52.67243	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	12PF1 - Grid sampling
		NIC489		14KL3			NIC	4.08695	-52.67731	Forest		Litter	Litter											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	14KL3 - Grid sampling
		NIC491		19FF5			NIC	4.08507	-52.68325	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	19FF5 - Grid sampling
		NIC492		14LF5			NIC	4.0864	-52.67639	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	14LF5 - Grid sampling
		NIC496		12LF2			NIC	4.08803	-52.67552	Forest		Fruit	Fruit											C. Braendle, A. Cutter, R. Jovelin, N. Callemeyn	C. Braendle & N. Callemeyn	2013-04-24		Grid sampling Grand Plateau and Petit Plateau - Inselberg station, Nouragues, FG	12LF2 - Grid sampling
		NIC51		F1.1			NIC	4.08729	-52.68139	Forest		Fruit	Woody fruit													2009-11-23		Petit Plateau	Woody fruit.  Petit Plateau, Nouragues Forest Station, French Guiana. 23/11/2009. CB/MAF.4.08729,-52.68139
		NIC517		WAN3/4.2a	1		NIC	25.00739	121.900472	Forest		Figs	Figs, Ficus sp.											C. Gosse	C. Braendle	2013-11-23		Riverside park Yuanwangkeng ou Entre le pont du cheval mort et la pierre au tigre, Caoling trail, Fulong, Taipei	bleached
		NIC53		F6.3			NIC	4.08669	-52.68165	Forest		Flower	Pink flowers, Bignonaceae													2009-11-23		Petit Plateau	Pink flowers (Bignonaceae), Petit Plateau, Nouragues Forest Station, French Guiana. 23/11/2009.  WAS NOT FROZEN in 2009 by accident - refrozen in April 2011 using sample previously sent from Asher Cutter. 4.08669, -52.68165
		NIC530		WAN1/4.a	1		NIC	24.6	121	Rural garden		Figs	Figs, Ficus sp.											C. Gosse	C. Braendle	2013-11-17		Shitousan, Hsinchu	
		NIC533		GUA 9/9.1a			NIC	16.01855	-61.597903	Forest		Fruit	Cecropia fruits, Cecropia sp.											N. Poullet	C. Braendle	2014-01-30		Maison de la foret, Route de la Traversée	
		NIC535		565 e1	1		NIC	15.23686	-61.34787	Forest		Fruit	Cecropia fruits, Cecropia sp.											C. Braendle	C. Braendle	2014-05-06		Sulphur Springs, Soufriere	same sample as NIC536
		NIC536		565 e2			NIC	15.23686	-61.34787	Forest		Fruit	Clusia fruit, Clusia sp. 											C. Braendle	C. Braendle	2014-05-06		Sulphur Springs, Soufriere	same sample as NIC535
		NIC540		565d2			NIC	15.23686	-61.34787	Forest		Fruit	Clusia fruit, Clusia sp.											C. Braendle	C. Braendle	2014-05-06		Sulphur Springs, Soufriere	
		NIC547		573	1		NIC	15.57003	-61.37541	Forest		Fruit	Seed											C. Braendle	C. Braendle	2014-05-09		Forest/at river, Chaudiere Pool	
		NIC55		G3.1			NIC	4.08225	-52.67965	Forest		Fruit	Monkey Comb fruits, Apeiba echinata													2009-11-24		Grand Plateau	Monkey Comb fruits (Apeiba echinata). Grand Plateau, Nouragues Forest Station, French Guiana. 24/11/2009. CB/MAF.4.08225, -52.67965
		NIC550		574.29999999999995			NIC	15.56923	-61.3744	Forest		Fruit	Wood fruit - heart shape, Sterculia sp.											C. Braendle	C. Braendle	2014-05-09		Forest/at river, Chaudiere Pool	same sample as NIC549, 551
		NIC551		574.4			NIC	15.56923	-61.3744	Forest		Fruit	Wood fruit - heart shape, Sterculia sp.											C. Braendle	C. Braendle	2014-05-09		Forest/at river, Chaudiere Pool	same sample as NIC549, 550
		NIC56		G4.1			NIC	4.08263	-52.67992	Forest		Flower	Rotting flower													2009-11-24		Grand Plateau	Rotting flower, Grand Plateau, Nouragues Forest Station, French Guiana. 24/11/2009. CB/MAF. 4.08263, -52.67992
		NIC563		601			NIC	15.37736	-61.33768	Forest		Plant stem	rotting plant stems											C. Braendle	C. Braendle	2014-05-13		Morne Trois Pitons Trail, Forest	
		NIC567		605			NIC	15.37806	-61.33964	Forest		Plant stem/Litte	plant stems/leaf ltter											C. Braendle	C. Braendle	2014-05-13		Morne Trois Pitons Trail, Forest	
		NIC568		606	1		NIC	15.37811	-61.33984	Forest		Litter	leaf litter in epiphyte											C. Braendle	C. Braendle	2014-05-13		Morne Trois Pitons Trail, Forest	
		NIC57		G9.1			NIC	4.08658	-52.67928	Forest		Flower	Large rotting flower													2009-11-24		Grand Plateau	Large rotting flower, Grand Plateau, Nouragues Forest Station, French Guiana. 24/11/2009.  CB/MAF. 4.08658, -52.67928
		NIC570		608a			NIC	15.47461	-61.29876	Forest		Flower	Heliconia red flower inside, Heliconia sp.										417-8	C. Braendle	C. Braendle	2014-05-13		Sisserou falls, Forest/Garden/river	
		NIC571		608b1			NIC	15.47461	-61.29876	Forest		Flower	Heliconia red flower inside, Heliconia sp.										417-8	C. Braendle	C. Braendle	2014-05-13		Sisserou falls, Forest/Garden/river	same sample as NIC572
		NIC572		608b2			NIC	15.47461	-61.29876	Forest		Flower	Heliconia red flower inside, Heliconia sp.										417-8	C. Braendle	C. Braendle	2014-05-13		Sisserou falls, Forest/Garden/river	same sample as NIC571
		NIC573		608c1			NIC	15.47461	-61.29876	Forest		Fruit	Coconut husk fibers, Cocos nucifera										417-8	C. Braendle	C. Braendle	2014-05-13		Sisserou falls, Forest/Garden/river	same sample as NIC574
		NIC575		609a1			NIC	15.40564	-61.34607	Agricultural land		Flower	Red flowers										438-9	C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Agricultural land	same sample as NIC576
		NIC577		609b			NIC	15.40564	-61.34607	Agricultural land		Flower	Banana flower leaves, Musa sp.											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Agricultural land	
		NIC579		614			NIC	15.40256	-61.34724	Forest		Fruit	Green fruit husks											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Forest	
		NIC58		H1.1	1		NIC	4.08731	-52.67866	Forest		Fruit	Fruit, Naucleopsis sp.													2009-11-24		Trail RG, next to river	Fruit (Naucleopsis sp.), Trail RG, next to river, Nouragues Forest Station, French Guiana.24/11/2009. CB/MAF. 4.08731, -52.67866
		NIC580		615			NIC	15.40273	-61.3469	Forest		Flower	Flower, Melasto? blue											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Forest	
		NIC581		617a			NIC	15.40368	-61.34699	Forest		Fruit	Fruits Cecropia, Cecropia sp.											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Forest/Agricultural land	
		NIC584		617c			NIC	15.40368	-61.34699	Forest		Fruit	Fruits Cecropia, Cecropia sp.											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Forest/Agricultural land	
		NIC585		618a			NIC	15.40415	-61.34645	Forest		Fruit	small black fruits											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Forest/Agricultural land	
		NIC586		619			NIC	15.40493	-61.34619	Agricultural land		Flower	Banana flower leaves, Musa sp.											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Agricultural land	
		NIC587		620a	1		NIC	15.40528	-61.34618	Agricultural land		Seeds	black seeds											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Agricultural land	red Hemipterans feeding on substrate
		NIC588		620b1			NIC	15.40528	-61.34618	Agricultural land		Fruit	Woody fruit, heart-shaped, Sterculia sp.											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Agricultural land	same sample as NIC589
		NIC589		620b2			NIC	15.40528	-61.34618	Agricultural land		Fruit	Woody fruit, heart-shaped, Sterculia sp.											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Agricultural land	same sample as NIC588
		NIC591		621.20000000000005			NIC	15.40585	-61.34613	Agricultural land		Fruit	Coconut, immature, Cocos nucifera											C. Braendle	C. Braendle	2014-05-13		Spanny Falls, Agricultural land	same sample as NIC590
		NIC592		622			NIC	15.4071	-61.3453	Forest		Fruit	woody fruit											C. Braendle	C. Braendle	2014-05-14		Boiling lake trail, Forest	
		NIC594		625.1	1		NIC	15.4071	-61.3453	Forest		Fruit	woody fruit, Hymenaea courbaril ?											C. Braendle	C. Braendle	2014-05-14		Boiling lake trail, Forest	
		NIC598		628a			NIC	15.4071	-61.3453	Forest		Fruit	Clusia fruit, Clusia sp.											C. Braendle	C. Braendle	2014-05-14		Boiling lake trail, Forest	
		NIC746		638			NIC	15.31929	-61.30588	Forest		Flower	flower											C. Braendle	C. Braendle	2014-05-14		Boiling lake trail, Forest	
		NIC747		644a			NIC	15.31566	-61.2969	Forest		Fruit	Clusia fruit, Clusia sp.											C. Braendle	C. Braendle	2014-05-14		Boiling lake trail, Forest	
		NIC748		644b			NIC	15.31566	-61.2969	Forest		Fruit	woody fruit pod											C. Braendle	C. Braendle	2014-05-14		Boiling lake trail, Forest	
		NIC749		645			NIC	15.31568	-61.29654	Forest		Fruit	Fruits Cecropia, Cecropia sp.											C. Braendle	C. Braendle	2014-05-14		Boiling lake trail, Forest	
		NIC750		648			NIC	15.39667	-61.3116	Forest		Fruit	Fruit, fig-like										599	C. Braendle	C. Braendle	2014-05-15		Emerald Pool Trail, Forest	
		NIC751		649	1		NIC	15.39709	-61.31183	Forest		Fruit	Fruit, fig-like										599	C. Braendle	C. Braendle	2014-05-15		Emerald Pool Trail, Forest	
		NIC752		650a			NIC	15.39802	-61.31219	Forest		Flower	flowers hard, zognon?											C. Braendle	C. Braendle	2014-05-15		Emerald Pool Trail, Forest	
		NIC753		650b			NIC	15.39802	-61.31219	Forest		Fruit	soft green fruits, olive-like											C. Braendle	C. Braendle	2014-05-15		Emerald Pool Trail, Forest	
		NIC761		660			NIC	15.34147	-61.307	Forest		Plant stem	plant stems											C. Braendle	C. Braendle	2014-05-16		Freshwater Lake Trail, Laudat (Forest/Lake)	
		NIC763		664b			NIC	15.33997	-61.30419	Forest		Plant stem	plant stems											C. Braendle	C. Braendle	2014-05-16		Freshwater Lake Trail, Laudat (Forest/Lake)	
		NIC773		675	1		NIC	15.3456	-61.30918	Forest		Fruit	Clusia fruit, Clusia sp.											C. Braendle	C. Braendle	2014-05-16		Freshwater Lake Trail, Laudat (Forest/Lake)	
		NIC775		678a			NIC	15.34529	-61.31009	Forest		Flower	flower yellow										697-8	C. Braendle	C. Braendle	2014-05-16		Freshwater Lake Trail, Laudat (Forest/Lake)	
		NIC85		H3F11			NIC	4.08533	-52.6751	Forest		Fruit	Cecropia fruits, Cecropia sp.													2009-11-25		Grand Plateau, Subsampling H3	Subsampling Cecropia fruits, 25/11/2009. Samples H3, Grand Plateau, Nouragues Forest Station , French Guiana.  4.08533, -52.6751
		NIC894		14a	1		NIC	22.01967	121.57357	Forest		Fruit	Prunes, Prunus sp.											C. Gosse	C. Braendle	2014-07-01		[Lanyu, Taitung county] sur le plateau juste avant d’atteindre le lac	
		NIC895		14b			NIC	22.01967	121.57357	Forest		Fruit	Prunes, Prunus sp.											C. Gosse	C. Braendle	2014-07-01		[Lanyu, Taitung county] sur le plateau juste avant d’atteindre le lac	
		NIC898		14e	1		NIC	22.01967	121.57357	Forest		Fruit	Prunes, Prunus sp.											C. Gosse	C. Braendle	2014-07-01		[Lanyu, Taitung county] sur le plateau juste avant d’atteindre le lac	
		NIC903		927a			NIC	4.04877	-52.67666	Forest		Plant stem	apical plant sheath ?												C. Braendle & A. Cutter	2014-08-16		P-I trail, Parare, Nouragues	
		NIC904		55			NIC	4.03117	-52.68019	Forest		Fruits	Woody cup fruits, small												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC905		73			NIC	4.03799	-52.67317	Forest		Fruits	Orange fruits, palm tree												C. Braendle & A. Cutter	2014-08-19		Camp Parare, Parare, Nouragues	
		NIC907		926			NIC	4.04842	-52.67683	Forest		Plant stem	apical plant sheath ?												C. Braendle & A. Cutter	2014-08-16		P-I trail, Parare, Nouragues	
		NIC908		913			NIC	4.04372	-52.67704	Forest		Flowers	yellow flowers, tubular												C. Braendle & A. Cutter	2014-08-16		P-I trail, Parare, Nouragues	common flower
		NIC909		871a			NIC	4.03955	-52.67374	Forest		Flower	Heliconia sp.												C. Braendle & A. Cutter	2014-08-14		P-I trail, Parare, Nouragues	
		NIC91		H6F1.3			NIC	4.08747	-52.67394	Forest		Fruit	Cecropia fruits, Cecropia sp.													2009-11-25		Grand Plateau, Subsampling H6	Subsampling Cecropia fruits, 25/11/2009. Samples H6, Grand Plateau, Nouragues Forest Station , French Guiana. 4.08747, -52.67394
		NIC912		886.2			NIC	4.03711	-52.67206	Forest		Flowers	fresh Clusia flowers, Clusia sp.										CB283		C. Braendle & A. Cutter	2014-08-15		Layon 0, Parare, Nouragues	
		NIC913		921			NIC	4.04738	-52.67787	Forest		Plant stem	apical plant sheath ?												C. Braendle & A. Cutter	2014-08-16		P-I trail, Parare, Nouragues	
		NIC915		887c			NIC	4.03701	-52.67172	Forest		Flowers	White flowers, rotting												C. Braendle & A. Cutter	2014-08-15		Layon 0, Parare, Nouragues	
		NIC916		870			NIC	4.03928	-52.67371	Forest		Flower	Rotting/fresh flowers												C. Braendle & A. Cutter	2014-08-14		P-I trail, Parare, Nouragues	
		NIC917		42			NIC	4.03446	-52.67816	Forest		Plant stem	apical plant sheath ?, Cecropia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC920		962			NIC	4.04232	-52.68144	Forest		Plant stem	stems from large leaf												C. Braendle & A. Cutter	2014-08-17		Layon 3, Parare, Nouragues	
		NIC923		65a2			NIC	4.03149	-52.68573	Forest		Flowers	Clusia flowers, rotting, Clusia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC925		M23 (23)			NIC	4.03975	-52.67435	Forest		Flowers	Heliconia flowers, Heliconia sp.												C. Braendle & A. Cutter	2014-08-15		P-I trail, Parare, Nouragues	
		NIC926		905			NIC	4.03837	-52.67075	Forest		Plant stem	Rotting plant stem												C. Braendle & A. Cutter	2014-08-15		Layon 2, Parare, Nouragues	
		NIC927		964a (964)			NIC	4.04213	-52.68083	Forest		Flowers	purple flowers												C. Braendle & A. Cutter	2014-08-17		Layon 3, Parare, Nouragues	
		NIC929		933b			NIC	4.04027	-52.67537	Forest		Flowers	Heliconia flowers, old, rotten, Heliconia sp.												C. Braendle & A. Cutter	2014-08-16		P-I trail, Parare, Nouragues	
		NIC932		987.1			NIC	4.0401	-52.67504	Forest		Fungus	rotting fungus												C. Braendle & A. Cutter	2014-08-17		P-I trail, Parare, Nouragues	
		NIC933		957b			NIC	4.04237	-52.68256	Forest		Flowers	Clusia flowers (petals), Clusia sp.												C. Braendle & A. Cutter	2014-08-17		Layon 3, Parare, Nouragues	
		NIC934		924			NIC	4.04783	-52.67766	Forest		Plant stem	Bromeliad stem on ground, rotting, Bromeliaceae												C. Braendle & A. Cutter	2014-08-16		P-I trail, Parare, Nouragues	
		NIC936		65a1			NIC	4.03149	-52.68573	Forest		Flowers	Clusia flowers, rotting, Clusia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC938		44			NIC	4.03397	-52.67852	Forest		Flowers	Clusia flowers, rotting, Clusia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC939		54			NIC	4.03128	-52.68028	Forest		Fruits	Hard, dry woody fruit shells												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC94		H6F2.2			NIC	4.08747	-52.67394	Forest		Fruit	Cecropia fruits, Cecropia sp.													2009-11-25		Grand Plateau, Subsampling H6	Subsampling Cecropia fruits, 25/11/2009. Samples H6, Grand Plateau, Nouragues Forest Station , French Guiana. 4.08747, -52.67394
		NIC940		59.2			NIC	4.03091	-52.68124	Forest		Flowers	Clusia flowers, large, rotting, Clusia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC941		869			NIC	4.03687	-52.67743	Forest		Fruit	Monkey combs, Apeiba sp.												C. Braendle & A. Cutter	2014-08-13		Layon 1, Parare, Nouragues	
		NIC942		873.1			NIC	4.04007	-52.67494	Forest		Fruits	Fruit, hard shell												C. Braendle & A. Cutter	2014-08-14		P-I trail, Parare, Nouragues	
		NIC943		874			NIC	4.03976	-52.67534	Forest		Flowers	Rotting flowers, same as 870												C. Braendle & A. Cutter	2014-08-14		Layon 1, Parare, Nouragues	
		NIC944		879			NIC	4.03799	-52.6772	Forest		Plant stem	Thick large plant stem, juicy, Philodendron?												C. Braendle & A. Cutter	2014-08-14		Layon 1, Parare, Nouragues	
		NIC945		881			NIC	4.03707	-52.6772	Forest		Fruits	pink/white fruits										CB214		C. Braendle & A. Cutter	2014-08-14		Layon 1, Parare, Nouragues	
		NIC946		882.1			NIC	4.03997	-52.67496	Forest		Flowers	Giant rotting flower/fruits, river Cacao, Pachira aquatica										CB225		C. Braendle & A. Cutter	2014-08-14		P-I trail,  at entry of Layon 0, Parare, Nouragues	
		NIC947		882.2			NIC	4.03997	-52.67496	Forest		Flowers	Giant rotting flower/fruits, river Cacao Pachira aquatica										CB225		C. Braendle & A. Cutter	2014-08-14		P-I trail,  at entry of Layon 0, Parare, Nouragues	
		NIC948		886.1			NIC	4.03711	-52.67206	Forest		Flowers	fresh Clusia flowers, Clusia sp.										CB283		C. Braendle & A. Cutter	2014-08-14		Layon 0, Parare, Nouragues	
		NIC949		890			NIC	4.0372	-52.67027	Forest		Plant stem	Large leaf plant, Philodendron?										CB287		C. Braendle & A. Cutter	2014-08-15		Layon 0, Parare, Nouragues	
		NIC950		891			NIC	4.03734	-52.66988	Forest		Fruits	large woody fruit, round												C. Braendle & A. Cutter	2014-08-15		Layon 0, Parare, Nouragues	
		NIC951		895			NIC	4.0385	-52.66777	Forest		Flowers	Large pink flowers, fresh+rotting, Vine, Convulvulaceae (Ipomoea batatoides?)												C. Braendle & A. Cutter	2014-08-15		Layon 2,  at end of Layon 0, Parare, Nouragues	
		NIC952		899			NIC	4.03894	-52.66867	Forest		Flowers	Large pink flowers, fresh+rotting, Vine, Convulvulaceae (Ipomoea batatoides?)												C. Braendle & A. Cutter	2014-08-15		Layon 2, Parare, Nouragues	
		NIC953		907			NIC	4.03828	-52.6715	Forest		Flowers	rotting Clusia flowers, Clusia sp.												C. Braendle & A. Cutter	2014-08-15		Layon 2, Parare, Nouragues	
		NIC955		930			NIC	4.04973	-52.67652	Forest		Plant stem	apical plant sheath, thin												C. Braendle & A. Cutter	2014-08-16		P-I trail, Parare, Nouragues	
		NIC956		987.2			NIC	4.0401	-52.67504	Forest		Fungus	rotting fungus												C. Braendle & A. Cutter	2014-08-17		P-I trail, Parare, Nouragues	
		NIC957		993.1			NIC	4.03952	-52.67598	Forest		Fruits	Rotting seed												C. Braendle & A. Cutter	2014-08-17		Layon 1, Parare, Nouragues	
		NIC958		41c			NIC	4.03502	-52.67796	Forest		Plant stem	Thick large plant stem, juicy, Philodendron?												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC959		52b1			NIC	4.03201	-52.68039	Forest		Flowers	Clusia flowers, large, rotting, Clusia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
		NIC960		63b1-2			NIC	4.03085	-52.68408	Forest		Fruits	Clusia fruits, large, old, rotten, Clusia sp.												C. Braendle & A. Cutter	2014-08-18		Layon 1 far, Parare, Nouragues	
